domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarme de falta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarme falhado"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarmes de avaria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarmes falhados"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alerta de falta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alerta perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alertas de falta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alertas perdidos"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","evento perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","eventos de miss"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","eventos perdidos"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhar lembretes"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhar qualquer alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhar qualquer temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhar um alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhar um temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falharam os alarmes?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhei os temporizadores"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou algum temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou e temporizadores"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou qualquer temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou um alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou um alerta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou um temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou uma indicação"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou-me algum alarme?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","falhou-me um alarme?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltar ao evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltar e temporizadores"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou a qualquer evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou a um evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou um lembrete"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou-me algum alarme?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou-me algum lembrete?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou-me algum temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltou-me algum temporizador?"
